N,E,D
0.032482996582984924,0.012219119817018509,-0.02985610067844391
0.04545624926686287,0.017076745629310608,-0.02971802093088627
0.05193575099110603,0.019494855776429176,-0.029631750658154488
0.07778971642255783,0.029071234166622162,-0.02917204424738884
0.09709310531616211,0.03612332418560982,-0.028707275167107582
0.10350721329450607,0.03844369947910309,-0.028529584407806396
0.11630067229270935,0.043032851070165634,-0.02814016118645668
0.17315949499607086,0.0626368299126625,-0.025830836966633797
0.1917954534292221,0.06871064752340317,-0.024860933423042297
0.21634581685066223,0.07638325542211533,-0.02341460809111595
0.2642655074596405,0.09007109701633453,-0.02000684104859829
0.27596864104270935,0.09311238676309586,-0.019049735739827156
0.27596864104270935,0.09311238676309586,-0.019049735739827156
0.32152026891708374,0.10359501093626022,-0.014813247136771679
0.32152026891708374,0.10359501093626022,-0.014813247136771679
0.32152026891708374,0.10359501093626022,-0.014813247136771679
0.32152026891708374,0.10359501093626022,-0.014813247136771679
0.338037371635437,0.10679121315479279,-0.01306040957570076
0.3488644063472748,0.10868857800960541,-0.011843460611999035
0.37005478143692017,0.11190828680992126,-0.00929583515971899
0.3956255614757538,0.11482695490121841,-0.005903890356421471
0.40555405616760254,0.11564349383115768,-0.0044844807125627995
0.41045188903808594,0.1159757599234581,-0.0037616624031215906
0.41530469059944153,0.11625716090202332,-0.003030206775292754
0.4342552125453949,0.1168718934059143,-1.9631361283245496e-05
0.43887510895729065,0.11689753085374832,0.0007537879864685237
0.4434468448162079,0.1168718934059143,0.0015353492926806211
0.452443927526474,0.11666686087846756,0.003122553927823901
0.4655662775039673,0.1159757599234581,0.005562254227697849
0.4698389172554016,0.11564349383115768,0.006390836555510759
0.4782291352748871,0.11482695490121841,0.00807048100978136
0.49042007327079773,0.11322498321533203,0.010644759051501751
0.4982791841030121,0.11190828680992126,0.012396387755870819
0.5021269917488098,0.11117616295814514,0.013282548636198044
0.5059197545051575,0.11039526760578156,0.014175476506352425
0.5169634819030762,0.10776352882385254,0.016893887892365456
0.5205318927764893,0.10679121315479279,0.017812902107834816
0.5342308282852173,0.10243809223175049,0.021550651639699936
0.5500338673591614,0.09599031507968903,0.02635391615331173
0.553014874458313,0.09457208961248398,0.027330998331308365
0.5615927577018738,0.09007109701633453,0.03029317408800125
0.5670039653778076,0.08687179535627365,0.03229265287518501
0.5770779848098755,0.08002186566591263,0.0363469235599041
0.5817363858222961,0.07638325542211533,0.03839993476867676
0.5941728949546814,0.06469010561704636,0.044651661068201065
0.604264497756958,0.051976755261421204,0.05102315917611122
0.6084181666374207,0.04529961571097374,0.054245978593826294
0.613021731376648,0.03612332418560982,0.058574382215738297
0.6172630786895752,0.024304363876581192,0.06402450799942017
0.6205269694328308,0.004895160440355539,0.07280104607343674
0.6203568577766418,-0.007340056821703911,0.07829812914133072
0.6184863448143005,-0.019494855776429176,0.08378617465496063
0.6149206161499023,-0.03143606334924698,0.08925013244152069
0.611971378326416,-0.03844369947910309,0.09251071512699127
0.6084181666374207,-0.04529961571097374,0.09575401991605759
0.6071001291275024,-0.04754650965332985,0.09683072566986084
0.604264497756958,-0.051976755261421204,0.09897684305906296
0.6011638641357422,-0.056315816938877106,0.10111244022846222
0.5995145440101624,-0.05844876542687416,0.1021760031580925
0.592261791229248,-0.06671500951051712,0.1063992828130722
0.5902857184410095,-0.06871064752340317,0.10744678229093552
0.5882449150085449,-0.07067614793777466,0.1084907278418541
0.5861395597457886,-0.07261064648628235,0.10953100025653839
0.5770779848098755,-0.08002186566591263,0.11365307867527008
0.5746537446975708,-0.08178891986608505,0.11467327922582626
0.5587946772575378,-0.0916118323802948,0.12069926410913467
0.553014874458313,-0.09457208961248398,0.12266900390386581
0.5407302975654602,-0.09998997300863266,0.12654489278793335
0.5375100374221802,-0.10123623162508011,0.1274999976158142
0.5274970531463623,-0.10470649600028992,0.13033035397529602
0.5021269917488098,-0.11117616295814514,0.13671745359897614
0.4943767488002777,-0.11259132623672485,0.13848291337490082
0.4823458194732666,-0.11434303969144821,0.1410786360502243
0.4655662775039673,-0.1159757599234581,0.1444377452135086
0.4434468448162079,-0.1168718934059143,0.1484646499156952
0.43887510895729065,-0.11689753085374832,0.1492462158203125
0.4295877516269684,-0.11679499596357346,0.15078482031822205
0.40555405616760254,-0.11564349383115768,0.15448448061943054
0.3956255614757538,-0.11482695490121841,0.1559038907289505
0.3855235278606415,-0.11380897462368011,0.1572878062725067
0.3270620107650757,-0.10470649600028992,0.16423873603343964
0.3270620107650757,-0.10470649600028992,0.16423873603343964
0.31594324111938477,-0.10243809223175049,0.1653779149055481
0.3103315532207489,-0.10123623162508011,0.16593267023563385
0.3046858608722687,-0.09998997300863266,0.16647745668888092
0.29900673031806946,-0.09869985282421112,0.16701219975948334
0.2701318860054016,-0.0916118323802948,0.16953347623348236
0.25837013125419617,-0.08849085867404938,0.17046979069709778
0.2524464428424835,-0.08687179535627365,0.17092227935791016
0.2464950531721115,-0.08521463721990585,0.17136423289775848
0.2345118373632431,-0.08178891986608505,0.17221641540527344
0.19796627759933472,-0.07067614793777466,0.17451567947864532
0.1917954534292221,-0.06871064752340317,0.17486093938350677
0.1669086068868637,-0.0605560801923275,0.17613206803798676
0.13539347052574158,-0.04977254942059517,0.17747126519680023
0.07778971642255783,-0.029071234166622162,0.17917203903198242
0.07778971642255783,-0.029071234166622162,0.17917203903198242
0.07778971642255783,-0.029071234166622162,0.17917203903198242
0.07778971642255783,-0.029071234166622162,0.17917203903198242
0.025990674272179604,-0.00978173315525055,0.1799079030752182
